route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,zenbus_mission_id,trip_headsign_code
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:6,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:7,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:8,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5154783532941312:LOC,,,6235636816150528,trip_277
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:9,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:0,DURENQUE QUAI > DROUOT,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:1,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:2,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:3,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:4,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5071459103801344:LOC,,,6281430109782016,trip_118
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:5,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:6,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:7,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:8,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:9,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:10,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
